iter	Logloss
0	0.6612610428
1	0.6326161315
2	0.6075513308
3	0.5858996162
4	0.5656573102
5	0.5512727588
6	0.5376713442
7	0.5252846995
8	0.5157513048
9	0.5056516216
10	0.4973231176
11	0.4901759546
12	0.4841270711
13	0.4776950449
14	0.4718663572
15	0.467108287
16	0.4628993879
17	0.4592603676
18	0.4555240499
19	0.4520274293
20	0.4494914121
21	0.4472143147
22	0.444826199
23	0.442749435
24	0.4407080477
25	0.4386023082
26	0.4366561965
27	0.4352398247
28	0.4337750804
29	0.4325283218
30	0.4311265925
31	0.4301531121
32	0.4287658099
33	0.4278279482
34	0.4269063825
35	0.4261881147
36	0.4252235712
37	0.4242851111
38	0.423461896
39	0.4227219566
40	0.4220331745
41	0.4212897681
42	0.4205344095
43	0.419886558
44	0.4193897528
45	0.4189196761
46	0.4184934777
47	0.418083942
48	0.4175218349
49	0.4170904374
50	0.4166796926
51	0.4162463922
52	0.4158704176
53	0.4155166453
54	0.4152331834
55	0.4147925878
56	0.41445069
57	0.4141717444
58	0.4138448761
59	0.4135001554
60	0.4132597096
61	0.4130360764
62	0.4126603798
63	0.4124138376
64	0.4121387515
65	0.4118041943
66	0.411517595
67	0.4113278082
68	0.4110955047
69	0.410868417
70	0.4106062192
71	0.4103575829
72	0.4100890918
73	0.4098847747
74	0.4096460995
75	0.4094046598
76	0.4091881796
77	0.4089784173
78	0.4087713398
79	0.4086171322
80	0.4084580377
81	0.4082841428
82	0.408089688
83	0.407908336
84	0.4077402096
85	0.4075421488
86	0.4073868836
87	0.4072180214
88	0.407045209
89	0.4068636037
90	0.4067326982
91	0.4065598197
92	0.4063560354
93	0.4062014923
94	0.4060005239
95	0.4058606833
96	0.4057516015
97	0.4056033823
98	0.4054555324
99	0.4052505751
100	0.4050639877
101	0.4049350987
102	0.4047546329
103	0.4046016332
104	0.404433352
105	0.4042999549
106	0.4041448888
107	0.4039890696
108	0.4038865859
109	0.4038008256
110	0.4036567518
111	0.4035035659
112	0.4033807582
113	0.4033082711
114	0.4032177479
115	0.4030794377
116	0.4029293001
117	0.4027581107
118	0.4026191837
119	0.4024875291
120	0.4023587088
121	0.402243431
122	0.4021355293
123	0.4019714173
124	0.4018842995
125	0.4017579001
126	0.4016560379
127	0.401553254
128	0.4014752385
129	0.4014054813
130	0.4012770749
131	0.4011506681
132	0.4010397461
133	0.4009363064
134	0.4008116372
135	0.4007399169
136	0.4006179651
137	0.4005557425
138	0.4004378861
139	0.4003340981
140	0.4002589763
141	0.4001144827
142	0.4000040008
143	0.3998601008
144	0.3997503784
145	0.3996345563
146	0.3995389486
147	0.3994159121
148	0.3993152074
149	0.3992129742
150	0.3991209613
151	0.3989986887
152	0.3988368776
153	0.398729327
154	0.3986186224
155	0.3985382984
156	0.3983868302
157	0.3982867638
158	0.3982269899
159	0.3981444438
160	0.3980960792
161	0.3979804094
162	0.3978956834
163	0.397798133
164	0.3976611816
165	0.3975996722
166	0.3974942514
167	0.3973885216
168	0.3972829065
169	0.3971897684
170	0.3970765079
171	0.3969383472
172	0.3967979912
173	0.3966980609
174	0.3965720541
175	0.3964919114
176	0.3963604671
177	0.3962825919
178	0.3962180213
179	0.3961296957
180	0.3960373317
181	0.3959457529
182	0.395834551
183	0.3957339641
184	0.3955717561
185	0.3954846214
186	0.3954107023
187	0.3953434514
188	0.3952236298
189	0.3951527732
