iter	Passed	Remaining
788	27518	7359
789	27552	7323
790	27588	7289
791	27623	7254
792	27658	7219
793	27688	7183
794	27722	7148
795	27755	7113
796	27794	7079
797	27829	7044
798	27854	7007
799	27888	6972
800	27927	6938
801	27972	6905
802	28016	6873
803	28049	6837
804	28078	6801
805	28114	6767
806	28155	6733
807	28185	6697
808	28225	6663
809	28256	6628
810	28291	6593
811	28324	6557
812	28370	6525
813	28406	6491
814	28440	6455
815	28476	6421
816	28521	6388
817	28565	6355
818	28615	6324
819	28653	6289
820	28688	6254
821	28725	6220
822	28773	6188
823	28809	6153
824	28851	6119
825	28883	6084
826	28921	6050
827	28971	6018
828	29001	5982
829	29035	5947
830	29075	5913
831	29122	5880
832	29179	5849
833	29218	5815
834	29255	5781
835	29286	5745
836	29326	5711
837	29365	5676
838	29404	5642
839	29431	5606
840	29463	5570
841	29499	5535
842	29537	5501
843	29578	5467
844	29612	5431
845	29645	5396
846	29679	5361
847	29718	5326
848	29762	5293
849	29797	5258
850	29837	5224
851	29868	5188
852	29903	5153
853	29936	5117
854	29980	5084
855	30017	5049
856	30048	5013
857	30079	4978
858	30118	4943
859	30160	4909
860	30193	4874
861	30224	4838
862	30251	4802
863	30275	4765
864	30319	4731
865	30353	4696
866	30387	4661
867	30423	4626
868	30457	4591
869	30501	4557
870	30536	4522
871	30573	4487
872	30610	4453
873	30637	4416
874	30678	4382
875	30716	4348
876	30747	4312
877	30784	4277
878	30821	4242
879	30856	4207
880	30899	4173
881	30937	4139
882	30971	4103
883	31006	4068
884	31040	4033
885	31086	3999
886	31115	3964
887	31146	3928
888	31181	3893
889	31216	3858
890	31252	3823
891	31297	3789
892	31320	3752
893	31338	3715
894	31361	3679
895	31392	3643
896	31427	3608
897	31465	3573
898	31506	3539
899	31542	3504
900	31578	3469
901	31609	3434
902	31642	3399
903	31676	3363
904	31718	3329
905	31757	3294
906	31791	3259
907	31824	3224
908	31855	3189
909	31897	3154
910	31938	3120
911	31972	3085
912	32009	3050
913	32045	3015
914	32079	2980
915	32122	2945
916	32157	2910
917	32193	2875
918	32233	2841
919	32269	2806
920	32314	2771
921	32350	2736
922	32384	2701
923	32423	2666
924	32459	2631
925	32505	2597
926	32543	2562
927	32577	2527
928	32607	2492
929	32642	2456
930	32680	2422
931	32699	2385
932	32734	2350
933	32766	2315
934	32783	2279
935	32827	2244
936	32852	2208
937	32889	2173
938	32918	2138
939	32952	2103
940	32982	2068
941	33021	2033
942	33057	1998
943	33101	1963
944	33135	1928
945	33165	1893
946	33198	1858
947	33237	1823
948	33276	1788
949	33306	1752
950	33333	1717
951	33371	1682
952	33409	1647
953	33449	1612
954	33484	1577
955	33512	1542
956	33542	1507
957	33567	1471
958	33590	1436
959	33631	1401
960	33668	1366
961	33705	1331
962	33739	1296
963	33775	1261
964	33807	1226
965	33856	1191
966	33898	1156
967	33924	1121
968	33954	1086
969	33980	1050
970	34015	1015
971	34045	980
972	34081	945
973	34109	910
974	34138	875
975	34178	840
976	34213	805
977	34258	770
978	34298	735
979	34337	700
980	34371	665
981	34406	630
982	34439	595
983	34479	560
984	34510	525
985	34547	490
986	34588	455
987	34629	420
988	34665	385
989	34702	350
990	34731	315
991	34767	280
992	34811	245
993	34847	210
994	34880	175
995	34916	140
996	34952	105
997	34997	70
998	35033	35
999	35069	0
