iter	RMSE
168	2793.256031
169	2792.108253
170	2790.949945
171	2789.171182
172	2788.309934
173	2787.404046
174	2787.040783
175	2784.372568
176	2783.335087
177	2783.128295
178	2782.523768
179	2779.643406
180	2779.277337
181	2779.138125
182	2778.951451
183	2777.811595
184	2777.191531
185	2776.96902
186	2775.204338
187	2773.526976
188	2772.107628
189	2771.447534
190	2770.053871
191	2769.58936
192	2769.13769
193	2768.479192
194	2767.482926
195	2767.292809
196	2766.069935
197	2765.596829
198	2765.224518
199	2764.68364
200	2763.965301
201	2761.34375
202	2759.323664
203	2758.886087
204	2757.844947
205	2756.776738
206	2755.681798
207	2754.977764
208	2753.575347
209	2753.507538
210	2752.944305
211	2751.648006
212	2750.207666
213	2749.502292
214	2749.468351
215	2748.172962
216	2747.567378
217	2746.110289
218	2745.587348
219	2742.497852
220	2740.208104
221	2740.123884
222	2739.667875
223	2739.066752
224	2738.405893
225	2737.410257
226	2736.725977
227	2735.502313
228	2735.263311
229	2734.086103
230	2733.302983
231	2731.997937
232	2731.846067
233	2731.485856
234	2731.113645
235	2730.483422
236	2729.093863
237	2728.02076
238	2727.968381
239	2726.5074
240	2724.709027
241	2723.501095
242	2723.025264
243	2721.240384
244	2720.798117
245	2720.197098
246	2718.513215
247	2717.615104
248	2716.73243
249	2716.66669
250	2715.017466
251	2713.857216
252	2713.784799
253	2713.133383
254	2711.480131
255	2710.513798
256	2709.632112
257	2708.350125
258	2708.229019
259	2707.299249
260	2706.705159
261	2705.660343
262	2705.296739
263	2704.675125
264	2703.489186
265	2702.956995
266	2702.058267
267	2701.323429
268	2700.674624
269	2700.391711
270	2699.549848
271	2698.919612
272	2698.663905
273	2698.138746
274	2697.69897
275	2697.361249
276	2696.980159
277	2696.394271
278	2695.27352
279	2693.787433
280	2693.5487
281	2692.38105
282	2691.946339
283	2690.237952
284	2689.734856
285	2689.41803
286	2688.188163
287	2686.000467
288	2685.190554
289	2684.532941
290	2683.317052
291	2682.962012
292	2682.083534
293	2681.514008
294	2680.437199
295	2679.828805
296	2678.078783
297	2676.092343
298	2675.725312
299	2674.012384
300	2672.291591
301	2672.05748
302	2671.900739
303	2670.024247
304	2669.448894
305	2668.822654
306	2668.530012
307	2667.200855
308	2666.60663
309	2666.084416
310	2665.703758
311	2664.329526
312	2663.056578
313	2662.78208
314	2662.013733
315	2661.270997
316	2660.266237
317	2659.178075
318	2659.073445
319	2657.487036
320	2656.131434
321	2654.743861
322	2653.715782
323	2652.458749
324	2652.110631
325	2650.396125
326	2649.316879
327	2649.285754
328	2648.576498
329	2647.690538
330	2647.466489
331	2647.029016
332	2645.673625
333	2644.629448
334	2643.884318
335	2643.100728
336	2642.897143
337	2642.659375
338	2641.839486
339	2641.323946
340	2641.065044
341	2640.728542
342	2640.242241
343	2637.552856
344	2636.443565
345	2635.735314
346	2634.983637
347	2632.341783
348	2631.390574
349	2629.842344
350	2629.684843
351	2628.638687
352	2628.17566
353	2627.757027
354	2626.095422
355	2625.27613
356	2624.874844
357	2624.027838
358	2623.374215
359	2622.771244
360	2621.500806
361	2620.748112
362	2620.612591
363	2620.104181
364	2619.000079
365	2618.602383
366	2618.156324
367	2618.115992
368	2617.751474
369	2616.65274
370	2615.809504
371	2614.765589
372	2614.379647
373	2613.381873
374	2612.218994
375	2611.680943
376	2610.937874
377	2610.025126
378	2608.260683
379	2608.238697
380	2606.247343
381	2604.881833
382	2604.847141
383	2604.476889
384	2603.255801
385	2602.258939
386	2601.537217
387	2600.907605
388	2600.25277
389	2600.205241
390	2599.181566
391	2599.118336
392	2597.988727
393	2597.135938
394	2595.215368
395	2595.183714
396	2594.154194
397	2592.866457
398	2592.151279
399	2591.835844
400	2591.134107
401	2589.411112
402	2588.011486
403	2586.402208
404	2585.460216
405	2584.826487
406	2584.125886
407	2583.739362
408	2582.869154
409	2582.224174
410	2581.243199
411	2579.955958
412	2579.121718
413	2578.958443
414	2577.577765
415	2577.265177
416	2576.122502
417	2575.721423
418	2575.101071
419	2573.950016
420	2573.691543
421	2572.246828
422	2571.856851
423	2571.684704
424	2571.376268
425	2570.491389
426	2569.913643
427	2569.599279
428	2569.088974
429	2568.257248
430	2567.18577
431	2565.55294
432	2565.046011
433	2564.940276
434	2564.891982
435	2564.494977
436	2563.505538
437	2563.337468
438	2562.564391
439	2562.406558
440	2562.09666
441	2561.434063
442	2560.400552
443	2559.885739
444	2557.894909
445	2557.370309
446	2556.393713
447	2555.706706
448	2555.533872
449	2554.943223
450	2554.444751
451	2553.69192
452	2553.65731
453	2552.230744
454	2551.379043
455	2550.481484
456	2550.278944
457	2549.545652
458	2548.791519
459	2548.191185
460	2547.835238
461	2547.02344
462	2546.546527
463	2545.98769
464	2545.360924
465	2544.677558
466	2542.497873
467	2542.077789
468	2542.018797
469	2541.837948
470	2540.609598
471	2540.130343
472	2539.206109
473	2538.926085
474	2538.440513
475	2537.565313
476	2537.500219
477	2536.674308
478	2535.171616
479	2534.652016
480	2533.806993
481	2533.501083
482	2533.405987
483	2532.379801
484	2531.273553
485	2530.347433
486	2529.70965
487	2529.133679
488	2528.516933
489	2526.935319
490	2526.268245
491	2525.601781
492	2523.679736
493	2523.141507
494	2522.664673
495	2522.253167
496	2521.781244
497	2521.112226
498	2520.313771
499	2519.833066
500	2518.500089
501	2517.836937
502	2517.296231
503	2516.94005
504	2516.320018
505	2515.646493
506	2513.671776
507	2511.779771
508	2510.803339
509	2509.876845
510	2509.193316
511	2507.454573
512	2506.838555
513	2506.227823
514	2505.346522
515	2504.559772
516	2503.615052
517	2502.648313
518	2500.669078
519	2500.282434
520	2499.615082
521	2498.098174
522	2497.459544
523	2497.124371
524	2496.811694
525	2496.681174
526	2495.328248
527	2494.167346
528	2493.20731
529	2492.323507
530	2491.21521
531	2490.984792
532	2490.203731
533	2489.355358
534	2488.199424
535	2487.280521
536	2486.76589
537	2485.14018
538	2484.696653
539	2484.528945
540	2484.203368
541	2482.705812
542	2481.348998
543	2479.632715
544	2478.860027
545	2477.695504
546	2476.875816
547	2475.805239
548	2475.133707
549	2474.681948
550	2474.030819
551	2473.143672
552	2472.214298
553	2471.79596
554	2471.483911
555	2470.969856
556	2470.531148
557	2470.146432
558	2469.234903
559	2467.774161
560	2466.134264
561	2465.710544
562	2465.259585
563	2464.241676
564	2463.889728
565	2463.047015
566	2462.222225
567	2461.569351
568	2461.35545
569	2460.883896
570	2460.240582
571	2459.870372
572	2459.048855
573	2458.584741
574	2458.558693
575	2458.215949
576	2457.631673
577	2456.677714
578	2456.023322
579	2455.276768
580	2454.731918
581	2453.96949
582	2453.466491
583	2452.304823
584	2451.535911
585	2451.290101
586	2450.880753
587	2449.993439
588	2449.598849
589	2448.143059
590	2447.961006
591	2446.932867
592	2446.468898
593	2446.323858
594	2445.367833
595	2444.994338
596	2444.246577
597	2443.85901
598	2443.309777
599	2442.803762
600	2442.064948
601	2441.271834
602	2440.81703
603	2440.6113
604	2440.237222
605	2439.211513
606	2438.964969
607	2438.438781
608	2437.788928
609	2436.732509
610	2435.490756
611	2434.66056
612	2433.195476
613	2432.930785
614	2432.589043
615	2432.236745
616	2431.762703
617	2431.657095
618	2430.66123
619	2430.250198
620	2429.048531
621	2427.743674
622	2426.849356
623	2426.379345
624	2425.572854
625	2425.311256
626	2425.191539
627	2424.513448
628	2424.157495
629	2423.411194
630	2422.582139
631	2421.933305
632	2421.321746
633	2421.224104
634	2420.636312
635	2420.253387
636	2419.715161
637	2418.960496
638	2418.513897
639	2417.921469
640	2417.045269
641	2416.599273
642	2416.088803
643	2415.766506
644	2415.082446
645	2414.113329
646	2413.33731
647	2412.834258
648	2412.692053
649	2412.250984
650	2411.713527
651	2411.104613
652	2410.311253
653	2409.697697
654	2408.218825
655	2407.442278
656	2407.243485
657	2406.013668
658	2405.541915
659	2404.816458
660	2403.785195
661	2403.337684
662	2402.875511
663	2402.307301
664	2402.022507
665	2401.316066
666	2401.084509
667	2399.651193
668	2399.309723
669	2399.110635
670	2398.002664
671	2397.057772
672	2396.012883
673	2395.733082
674	2395.090223
675	2394.54837
676	2393.699871
677	2393.316101
678	2392.542561
679	2391.591855
680	2391.256128
681	2391.107924
682	2390.399628
683	2389.917109
684	2389.117506
685	2388.395724
686	2387.847448
687	2387.664345
688	2387.458569
689	2387.0145
690	2386.826024
691	2386.298549
692	2385.779112
693	2385.324981
694	2384.938927
695	2384.465674
696	2384.147983
697	2383.724628
698	2383.616226
699	2383.477596
700	2383.110404
701	2382.495733
702	2381.816648
703	2380.026881
704	2379.600828
705	2379.41672
706	2379.353503
707	2378.792773
708	2378.474248
709	2376.891316
710	2376.809824
711	2376.235277
712	2376.025402
713	2375.597331
714	2374.794093
715	2373.540942
716	2373.069689
717	2372.569996
718	2371.926224
719	2371.78915
720	2370.92227
721	2370.736965
722	2370.068449
723	2369.557459
724	2368.497157
725	2368.017992
726	2367.513547
727	2366.821195
728	2366.365872
729	2365.593214
730	2365.111336
731	2364.839909
732	2363.904187
733	2363.874984
734	2363.032121
735	2362.680374
736	2361.604371
737	2360.986967
738	2360.594578
739	2360.37567
740	2359.853183
741	2359.093043
742	2358.682422
743	2358.194558
744	2357.723157
745	2356.722485
746	2356.415646
747	2356.301718
748	2355.691417
749	2355.212762
750	2355.032539
751	2354.688322
752	2353.8067
753	2353.765609
754	2353.385612
755	2352.633737
756	2352.269935
757	2351.60705
758	2350.764177
759	2350.180558
760	2349.765303
761	2349.267195
762	2348.975384
763	2348.013028
764	2347.602697
765	2346.877032
766	2346.383954
767	2345.986173
768	2344.963541
769	2344.383229
770	2344.229153
771	2343.760905
772	2343.592763
773	2343.014591
774	2342.680132
775	2341.963812
776	2341.337292
777	2340.799441
778	2340.195519
779	2339.320612
780	2338.900855
781	2338.494942
782	2337.913575
783	2337.302615
784	2336.280864
785	2335.732278
786	2335.441296
787	2334.083527
788	2333.812148
789	2333.343897
790	2332.80852
791	2332.164564
792	2331.311629
793	2330.64244
794	2330.274746
795	2329.90281
796	2329.36956
797	2328.720013
798	2328.256446
799	2327.294528
800	2326.812508
801	2325.742783
802	2325.685527
803	2324.888833
804	2324.12869
805	2323.970237
806	2323.804719
807	2323.44707
808	2323.156912
809	2322.61773
810	2321.91188
811	2321.297548
812	2321.054476
813	2320.411455
814	2319.343404
815	2318.379154
816	2317.900497
817	2317.636405
818	2317.417554
819	2317.067124
820	2316.392325
821	2315.35251
822	2314.514388
823	2313.673681
824	2313.479735
825	2312.79187
826	2312.715828
827	2312.491109
828	2311.85864
829	2311.560952
830	2311.023431
831	2310.188238
832	2309.146473
833	2308.537237
834	2308.181305
835	2307.521719
836	2306.499079
837	2305.790825
838	2304.802531
839	2304.388838
840	2303.721564
841	2302.386219
842	2301.747008
843	2301.609944
844	2300.045898
845	2299.266438
846	2298.387344
847	2298.165087
848	2297.710721
849	2297.331366
850	2296.711837
851	2296.476082
852	2296.340805
853	2295.793171
854	2294.965984
855	2293.791951
856	2293.273153
857	2292.236639
858	2291.926514
859	2291.135759
860	2290.953618
861	2290.780015
862	2290.611667
863	2289.988977
864	2288.796253
865	2288.038479
866	2287.582775
867	2286.877378
868	2286.717681
869	2285.783514
870	2285.081311
871	2284.471262
872	2284.083108
873	2284.004656
874	2283.398766
875	2282.965812
876	2282.55073
877	2281.973839
878	2280.932721
879	2280.593779
880	2280.435704
881	2279.437661
882	2279.214052
883	2278.552044
884	2278.078382
885	2277.61733
886	2277.262307
887	2276.284524
888	2275.993467
889	2274.828043
890	2274.505217
891	2274.130755
892	2273.835353
893	2273.616067
894	2273.353361
895	2272.91641
896	2272.655234
897	2272.177094
898	2271.544843
899	2270.612345
900	2270.177882
901	2269.975869
902	2269.767119
903	2268.685642
904	2267.256318
905	2267.026465
906	2266.401443
907	2265.726266
908	2265.585553
909	2264.717622
910	2264.430068
911	2264.20856
912	2263.27157
913	2262.555886
914	2261.984503
915	2260.888807
916	2260.22315
917	2259.647412
918	2259.108413
919	2258.39644
920	2257.812177
921	2257.206904
922	2256.668795
923	2256.207256
924	2255.984158
925	2255.914012
926	2255.501534
927	2254.742826
928	2254.641779
929	2253.791434
930	2253.675854
931	2253.168936
932	2252.078629
933	2251.699164
934	2251.356043
935	2251.076405
936	2250.64627
937	2250.064255
938	2248.904699
939	2248.029388
940	2247.796574
941	2246.576055
942	2245.931241
943	2245.316136
944	2245.1846
945	2244.380673
946	2244.265606
947	2243.537859
948	2243.099869
949	2242.62564
950	2242.259182
951	2241.917832
952	2241.22302
953	2240.66935
954	2239.870181
955	2239.436712
956	2239.209897
957	2238.902843
958	2238.606423
959	2238.148038
960	2236.651316
961	2235.816253
962	2235.378059
963	2234.474269
964	2233.801287
965	2233.141717
966	2232.531025
967	2231.995839
968	2231.864968
969	2231.411661
970	2230.328603
971	2229.615993
972	2229.014119
973	2228.716578
974	2228.575881
975	2228.251003
976	2227.136444
977	2226.648723
978	2226.318485
979	2225.300156
980	2224.816907
981	2223.284718
982	2222.878416
983	2222.172993
984	2222.137329
985	2221.748665
986	2221.351487
987	2220.503424
988	2219.741277
989	2219.309502
990	2218.830815
991	2218.134709
992	2217.266618
993	2216.838368
994	2216.726942
995	2215.807738
996	2215.560689
997	2215.213098
998	2215.08193
999	2214.55563
